row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
4252,WASP-88 b,WASP-88,1,1,Transit,2014,Ground,SuperWASP,4.954,0.06431,16.365,1.46,133.4886,0.42,1772,F6,6430,1.8,0.94,-37.30369,351.0976,523.756,0
4253,WASP-89 b,WASP-89,1,1,Transit,2015,Ground,SuperWASP,3.3564227,0.0427,11.657,1.04,1875.197,5.9,1120,K3,5130,0.88,0.92,-35.60725,28.20677,290.946,0
4254,WASP-90 b,WASP-90,1,1,Transit,2016,Ground,SuperWASP,3.916243,0.0562,18.271,1.63,200.2329,0.63,1840,F6,6430,1.98,1.55,-24.88475,55.87483,466.433,0
4255,WASP-91 b,WASP-91,1,1,Transit,2017,Ground,SuperWASP-South,2.798581,0.037,11.545,1.03,425.8922,1.34,1160,K3,4920,0.86,0.84,-46.11606,310.2213,149.942,0
4256,WASP-92 b,WASP-92,1,1,Transit,2016,Ground,SuperWASP,2.1746742,0.0348,16.376,1.461,255.85315,0.805,1871,F7,6280,1.34,1.19,43.22087,78.78012,575.889,0
4257,WASP-93 b,WASP-93,1,1,Transit,2016,Ground,SuperWASP,2.7325321,0.04211,17.901,1.597,467.2101,1.47,1942,F4,6700,1.52,1.33,-11.52566,120.7621,370.284,0
4258,WASP-94 A b,WASP-94 A,2,2,Transit,2014,Ground,SuperWASP,3.95019,0.055,17.71,1.58,158.915,0.5,1604,F8,6170,1.48,1.67,-39.37842,9.654727,211.211,0
4259,WASP-94 B b,WASP-94 B,2,2,Radial Velocity,2014,Ground,SuperWASP,2.00839,0.0335,14.1,1.26,196.411,0.618,,F9,6040,1.35,1.24,-39.38255,9.655605,208.696,0
4260,WASP-95 b,WASP-95,1,1,Transit,2014,Ground,SuperWASP,2.18467,0.03416,13.787,1.23,457.6752,1.44,1570,G2,5830,1.23,1.46,-55.51348,346.1339,137.544,0
4261,WASP-96 b,WASP-96,1,1,Transit,2014,Ground,SuperWASP,3.4252602,0.0453,13.45,1.2,152.55,0.48,1285,G8,5540,1.05,1.06,-67.74833,324.4137,352.464,0
4262,WASP-97 b,WASP-97,1,1,Transit,2014,Ground,SuperWASP,2.07276,0.03303,12.778,1.14,432.2488,1.36,1555,G5,5640,1.08,1.18,-60.12746,289.6419,151.068,0
4263,WASP-98 b,WASP-98,2,1,Transit,2014,Ground,SuperWASP,2.96264036,0.03762,12.823,1.144,293.03926,0.922,1171,G7,5473,0.74,0.81,-50.50291,234.9338,281.742,0
